127.0.0.1 - - [12/Jan/2019:11:24:32 +0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [12/Jan/2019:11:24:55 +0300] "GET /Project/ HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [12/Jan/2019:11:25:01 +0300] "GET /Deneme/ HTTP/1.1" 200 14130
0:0:0:0:0:0:0:1 - - [12/Jan/2019:11:25:01 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:30:25 +0300] "GET /Deneme/ HTTP/1.1" 200 14443
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:30:25 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:31:09 +0300] "GET /Deneme/ HTTP/1.1" 200 14452
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:31:09 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:37:15 +0300] "GET /Deneme/ HTTP/1.1" 200 14568
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:37:15 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:37:37 +0300] "GET /Deneme/ HTTP/1.1" 200 14571
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:37:37 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:38:05 +0300] "GET /Deneme/ HTTP/1.1" 200 14574
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:38:05 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:40:16 +0300] "GET /Deneme/ HTTP/1.1" 200 14993
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:40:16 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:56:16 +0300] "GET /Deneme/ HTTP/1.1" 200 15704
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:56:17 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:57:25 +0300] "GET /Deneme/ HTTP/1.1" 200 15706
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:57:25 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:58:54 +0300] "GET /Deneme/ HTTP/1.1" 200 15129
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:58:54 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:59:32 +0300] "GET /Deneme/ HTTP/1.1" 200 14746
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:59:32 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:59:54 +0300] "GET /Deneme/ HTTP/1.1" 200 14746
0:0:0:0:0:0:0:1 - - [12/Jan/2019:12:59:54 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:13:54:38 +0300] "GET /Deneme/ HTTP/1.1" 200 13635
0:0:0:0:0:0:0:1 - - [12/Jan/2019:13:54:38 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:13:54:40 +0300] "GET /Deneme/ HTTP/1.1" 200 13635
0:0:0:0:0:0:0:1 - - [12/Jan/2019:13:54:40 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:13:54:40 +0300] "GET /Deneme/ HTTP/1.1" 200 13635
0:0:0:0:0:0:0:1 - - [12/Jan/2019:13:54:40 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:13:54:41 +0300] "GET /Deneme/ HTTP/1.1" 200 13635
0:0:0:0:0:0:0:1 - - [12/Jan/2019:13:54:41 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:13:54:41 +0300] "GET /Deneme/ HTTP/1.1" 200 13635
0:0:0:0:0:0:0:1 - - [12/Jan/2019:13:54:41 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [12/Jan/2019:14:00:39 +0300] "GET /Deneme/ HTTP/1.1" 200 13635
0:0:0:0:0:0:0:1 - - [12/Jan/2019:14:00:39 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1106
